date,country,country_name,sex,sex_qf,age_group,age_group_qf,daily_positive,cumulative_positive,daily_deaths,daily_deaths_qf,cumulative_deaths,cumulative_deaths_qf,crude_rate_deaths,crude_rate_deaths_qf,first_infections,first_infections_cumulative,reinfections,reinfections_cumulative,percent_reinfections,percent_reinfections_cumulative
2020-03-10,S92000003,Scotland,Total,d,75 to 84,NA,0,1,0,NA,0,NA,0,NA,0,1,0,0,NA,0
2020-03-10,S92000003,Scotland,Total,d,Total,d,21,67,0,NA,0,NA,0,NA,21,67,0,0,0,0
2020-03-11,S92000003,Scotland,Female,NA,0 to 59,NA,7,27,0,NA,0,NA,0,NA,7,27,0,0,0,0
2020-03-11,S92000003,Scotland,Female,NA,20 to 24,NA,1,3,0,NA,0,NA,0,NA,1,3,0,0,0,0
2020-03-11,S92000003,Scotland,Female,NA,25 to 44,NA,4,10,0,NA,0,NA,0,NA,4,10,0,0,0,0
2020-03-11,S92000003,Scotland,Female,NA,45 to 64,NA,4,17,0,NA,0,NA,0,NA,4,17,0,0,0,0
2020-03-11,S92000003,Scotland,Female,NA,60+,NA,3,6,0,NA,0,NA,0,NA,3,6,0,0,0,0
2020-03-11,S92000003,Scotland,Female,NA,65 to 74,NA,0,2,0,NA,0,NA,0,NA,0,2,0,0,NA,0
2020-03-11,S92000003,Scotland,Female,NA,75 to 84,NA,1,1,0,NA,0,NA,0,NA,1,1,0,0,0,0
2020-03-11,S92000003,Scotland,Female,NA,Total,d,10,33,0,NA,0,NA,0,NA,10,33,0,0,0,0
2020-03-11,S92000003,Scotland,Male,NA,0 to 59,NA,12,48,0,NA,0,NA,0,NA,12,48,0,0,0,0
2020-03-11,S92000003,Scotland,Male,NA,15 to 19,NA,0,1,0,NA,0,NA,0,NA,0,1,0,0,NA,0
2020-03-11,S92000003,Scotland,Male,NA,20 to 24,NA,1,2,0,NA,0,NA,0,NA,1,2,0,0,0,0
2020-03-11,S92000003,Scotland,Male,NA,25 to 44,NA,4,26,0,NA,0,NA,0,NA,4,26,0,0,0,0
2020-03-11,S92000003,Scotland,Male,NA,45 to 64,NA,10,25,0,NA,0,NA,0,NA,10,25,0,0,0,0
2020-03-11,S92000003,Scotland,Male,NA,60+,NA,3,11,0,NA,0,NA,0,NA,3,11,0,0,0,0
2020-03-11,S92000003,Scotland,Male,NA,65 to 74,NA,0,4,0,NA,0,NA,0,NA,0,4,0,0,NA,0
2020-03-11,S92000003,Scotland,Male,NA,75 to 84,NA,0,1,0,NA,0,NA,0,NA,0,1,0,0,NA,0
2020-03-11,S92000003,Scotland,Male,NA,Total,d,15,59,0,NA,0,NA,0,NA,15,59,0,0,0,0
2020-03-11,S92000003,Scotland,Total,d,0 to 59,NA,19,75,0,NA,0,NA,0,NA,19,75,0,0,0,0
2020-03-11,S92000003,Scotland,Total,d,15 to 19,NA,0,1,0,NA,0,NA,0,NA,0,1,0,0,NA,0
2020-03-11,S92000003,Scotland,Total,d,20 to 24,NA,2,5,0,NA,0,NA,0,NA,2,5,0,0,0,0
2020-03-11,S92000003,Scotland,Total,d,25 to 44,NA,8,36,0,NA,0,NA,0,NA,8,36,0,0,0,0
2020-03-11,S92000003,Scotland,Total,d,45 to 64,NA,14,42,0,NA,0,NA,0,NA,14,42,0,0,0,0
2020-03-11,S92000003,Scotland,Total,d,60+,NA,6,17,0,NA,0,NA,0,NA,6,17,0,0,0,0
2020-03-11,S92000003,Scotland,Total,d,65 to 74,NA,0,6,0,NA,0,NA,0,NA,0,6,0,0,NA,0
2020-03-11,S92000003,Scotland,Total,d,75 to 84,NA,1,2,0,NA,0,NA,0,NA,1,2,0,0,0,0
