id,date,hb,hb_name,daily_positive,cumulative_positive,daily_positive_pcr_only,cumulative_positive_pcr_only,daily_positive_lfd_only,cumulative_positive_lfd_only,daily_positive_pcr_and_lfd,cumulative_positive_pcr_and_lfd,daily_deaths,daily_deaths_qf,cumulative_deaths,cumulative_deaths_qf,crude_rate_deaths,crude_rate_deaths_qf,positive_tests,positive_tests_lfd_only,hospital_admissions,hospital_admissions_qf,icu_admissions,icu_admissions_qf,positive_pillar1,positive_pillar2,first_infections,first_infections_cumulative,reinfections,reinfections_cumulative,percent_reinfections,percent_reinfections_cumulative,total_tests,total_pillar1,total_pillar2,total_lfd,hospital_occupancy,icu_occupancy28daysless,icu_occupancy28daysmore
48,2020-03-07,S08000030,NHS Tayside,0,1,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,NA,:,NA,:,NA,NA,0,1,0,0,NA,0,9,9,0,NA,NA,NA,NA
49,2020-03-07,S08000026,NHS Shetland,0,2,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,NA,:,NA,:,NA,NA,0,2,0,0,NA,0,2,2,0,NA,NA,NA,NA
50,2020-03-07,S08000024,NHS Lothian,2,5,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,4,NA,NA,:,NA,:,4,0,2,5,0,0,0,0,48,48,0,NA,NA,NA,NA
51,2020-03-07,S08000032,NHS Lanarkshire,1,3,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,3,NA,NA,:,NA,:,3,0,1,3,0,0,0,0,27,27,0,NA,NA,NA,NA
52,2020-03-07,S08000031,NHS Greater Glasgow and Clyde,0,3,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,3,NA,NA,:,NA,:,3,0,0,3,0,0,NA,0,45,45,0,NA,NA,NA,NA
53,2020-03-07,S08000020,NHS Grampian,2,6,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,3,NA,NA,:,NA,:,3,0,2,6,0,0,0,0,15,15,0,NA,NA,NA,NA
54,2020-03-07,S08000019,NHS Forth Valley,0,3,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,2,NA,NA,:,NA,:,2,0,0,3,0,0,NA,0,26,26,0,NA,NA,NA,NA
55,2020-03-07,S08000029,NHS Fife,0,2,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,1,NA,NA,:,NA,:,1,0,0,2,0,0,NA,0,16,16,0,NA,NA,NA,NA
56,2020-03-07,S08000015,NHS Ayrshire and Arran,1,2,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,1,NA,NA,:,NA,:,1,0,1,2,0,0,0,0,15,15,0,NA,NA,NA,NA
57,2020-03-08,S92000003,Scotland,3,30,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,17,NA,1,NA,NA,:,17,0,3,30,0,0,0,0,192,192,0,NA,NA,NA,NA
58,2020-03-08,S08000030,NHS Tayside,0,1,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,NA,:,NA,:,NA,NA,0,1,0,0,NA,0,1,1,0,NA,NA,NA,NA
59,2020-03-08,S08000026,NHS Shetland,0,2,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,NA,:,NA,:,NA,NA,0,2,0,0,NA,0,1,1,0,NA,NA,NA,NA
60,2020-03-08,S08000024,NHS Lothian,2,7,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,2,NA,NA,:,NA,:,2,0,2,7,0,0,0,0,31,31,0,NA,NA,NA,NA
61,2020-03-08,S08000032,NHS Lanarkshire,0,3,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,4,NA,NA,:,NA,:,4,0,0,3,0,0,NA,0,24,24,0,NA,NA,NA,NA
62,2020-03-08,S08000031,NHS Greater Glasgow and Clyde,0,3,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,3,NA,NA,:,NA,:,3,0,0,3,0,0,NA,0,56,56,0,NA,NA,NA,NA
63,2020-03-08,S08000020,NHS Grampian,1,7,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,4,NA,NA,:,NA,:,4,0,1,7,0,0,0,0,14,14,0,NA,NA,NA,NA
64,2020-03-08,S08000019,NHS Forth Valley,0,3,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,4,NA,NA,:,NA,:,4,0,0,3,0,0,NA,0,28,28,0,NA,NA,NA,NA
