hb,sex,age,year,population
S08000017,Male,All ages,2020,72175
S08000017,Male,All ages,2021,72356
S08000019,All,0-9 years,2017,32802
S08000019,All,0-9 years,2018,32265
S08000019,All,0-9 years,2019,31625
S08000019,All,0-9 years,2020,30960
S08000019,All,0-9 years,2021,30230
S08000019,All,10-19 years,2017,34242
S08000019,All,10-19 years,2018,34342
S08000019,All,10-19 years,2019,34444
S08000019,All,10-19 years,2020,34404
S08000019,All,10-19 years,2021,34503
S08000019,All,20-29 years,2017,38708
S08000019,All,20-29 years,2018,38467
S08000019,All,20-29 years,2019,38217
S08000019,All,20-29 years,2020,37768
S08000019,All,20-29 years,2021,36746
S08000019,All,30-39 years,2017,35921
S08000019,All,30-39 years,2018,36333
S08000019,All,30-39 years,2019,36602
S08000019,All,30-39 years,2020,36702
S08000019,All,30-39 years,2021,37399
S08000019,All,40-49 years,2017,42747
S08000019,All,40-49 years,2018,41606
S08000019,All,40-49 years,2019,40675
S08000019,All,40-49 years,2020,39697
S08000019,All,40-49 years,2021,38967
S08000019,All,50-59 years,2017,45571
S08000019,All,50-59 years,2018,46201
S08000019,All,50-59 years,2019,46776
S08000019,All,50-59 years,2020,46975
S08000019,All,50-59 years,2021,46982
S08000019,All,60-69 years,2017,35846
S08000019,All,60-69 years,2018,35880
S08000019,All,60-69 years,2019,36224
S08000019,All,60-69 years,2020,36552
S08000019,All,60-69 years,2021,37096
S08000019,All,70-79 years,2017,25737
S08000019,All,70-79 years,2018,26745
S08000019,All,70-79 years,2019,27347
S08000019,All,70-79 years,2020,28015
S08000019,All,70-79 years,2021,28682
S08000019,All,80-89 years,2017,11849
S08000019,All,80-89 years,2018,12083
S08000019,All,80-89 years,2019,12463
S08000019,All,80-89 years,2020,12576
S08000019,All,80-89 years,2021,12799
S08000019,All,90 years and over,2017,2157
S08000019,All,90 years and over,2018,2148
S08000019,All,90 years and over,2019,2267
S08000019,All,90 years and over,2020,2281
S08000019,All,90 years and over,2021,2306
S08000019,All,All ages,2017,305580
S08000019,All,All ages,2018,306070
S08000019,All,All ages,2019,306640
S08000019,All,All ages,2020,305930
S08000019,All,All ages,2021,305710
S08000019,Female,0-9 years,2017,15972
S08000019,Female,0-9 years,2018,15660
S08000019,Female,0-9 years,2019,15302
S08000019,Female,0-9 years,2020,14859
S08000019,Female,0-9 years,2021,14523
S08000019,Female,10-19 years,2017,16640
S08000019,Female,10-19 years,2018,16743
S08000019,Female,10-19 years,2019,16757
S08000019,Female,10-19 years,2020,16865
S08000019,Female,10-19 years,2021,16848
S08000019,Female,20-29 years,2017,19465
S08000019,Female,20-29 years,2018,19220
S08000019,Female,20-29 years,2019,18990
S08000019,Female,20-29 years,2020,18793
S08000019,Female,20-29 years,2021,18298
S08000019,Female,30-39 years,2017,18632
S08000019,Female,30-39 years,2018,18902
S08000019,Female,30-39 years,2019,18988
S08000019,Female,30-39 years,2020,19064
S08000019,Female,30-39 years,2021,19436
S08000019,Female,40-49 years,2017,22038
S08000019,Female,40-49 years,2018,21446
S08000019,Female,40-49 years,2019,21000
S08000019,Female,40-49 years,2020,20529
S08000019,Female,40-49 years,2021,20165
S08000019,Female,50-59 years,2017,23167
S08000019,Female,50-59 years,2018,23540
S08000019,Female,50-59 years,2019,23834
S08000019,Female,50-59 years,2020,24026
S08000019,Female,50-59 years,2021,24048
S08000019,Female,60-69 years,2017,18465
S08000019,Female,60-69 years,2018,18493
S08000019,Female,60-69 years,2019,18705
S08000019,Female,60-69 years,2020,18890
S08000019,Female,60-69 years,2021,19108
S08000019,Female,70-79 years,2017,13886
S08000019,Female,70-79 years,2018,14350
S08000019,Female,70-79 years,2019,14569
S08000019,Female,70-79 years,2020,14878
S08000019,Female,70-79 years,2021,15316
S08000019,Female,80-89 years,2017,6973
S08000019,Female,80-89 years,2018,7058
S08000019,Female,80-89 years,2019,7311
S08000019,Female,80-89 years,2020,7352
S08000019,Female,80-89 years,2021,7485
S08000019,Female,90 years and over,2017,1506
S08000019,Female,90 years and over,2018,1491
S08000019,Female,90 years and over,2019,1557
S08000019,Female,90 years and over,2020,1553
S08000019,Female,90 years and over,2021,1550
S08000019,Female,All ages,2017,156744
S08000019,Female,All ages,2018,156903
S08000019,Female,All ages,2019,157013
S08000019,Female,All ages,2020,156809
S08000019,Female,All ages,2021,156777
S08000019,Male,0-9 years,2017,16830
S08000019,Male,0-9 years,2018,16605
S08000019,Male,0-9 years,2019,16323
S08000019,Male,0-9 years,2020,16101
S08000019,Male,0-9 years,2021,15707
S08000019,Male,10-19 years,2017,17602
S08000019,Male,10-19 years,2018,17599
S08000019,Male,10-19 years,2019,17687
S08000019,Male,10-19 years,2020,17539
S08000019,Male,10-19 years,2021,17655
S08000019,Male,20-29 years,2017,19243
S08000019,Male,20-29 years,2018,19247
S08000019,Male,20-29 years,2019,19227
S08000019,Male,20-29 years,2020,18975
S08000019,Male,20-29 years,2021,18448
S08000019,Male,30-39 years,2017,17289
S08000019,Male,30-39 years,2018,17431
S08000019,Male,30-39 years,2019,17614
S08000019,Male,30-39 years,2020,17638
S08000019,Male,30-39 years,2021,17963
S08000019,Male,40-49 years,2017,20709
S08000019,Male,40-49 years,2018,20160
S08000019,Male,40-49 years,2019,19675
