Date,Country,Sex,SexQF,AgeGroup,AgeGroupQF,DailyPositive,CumulativePositive,DailyDeaths,DailyDeathsQF,CumulativeDeaths,CumulativeDeathsQF,CrudeRateDeaths,CrudeRateDeathsQF,FirstInfections,FirstInfectionsCumulative,Reinfections,ReinfectionsCumulative,PercentReinfections,PercentReinfectionsCumulative
20200305,S92000003,Total,d,60+,"",0,1,0,"",0,"",0,"",0,1,0,0,,0
20200305,S92000003,Total,d,65 to 74,"",0,1,0,"",0,"",0,"",0,1,0,0,,0
20200305,S92000003,Total,d,Total,d,2,15,0,"",0,"",0,"",2,15,0,0,0,0
20200306,S92000003,Female,"",0 to 59,"",3,7,0,"",0,"",0,"",3,7,0,0,0,0
20200306,S92000003,Female,"",20 to 24,"",1,2,0,"",0,"",0,"",1,2,0,0,0,0
20200306,S92000003,Female,"",25 to 44,"",1,3,0,"",0,"",0,"",1,3,0,0,0,0
20200306,S92000003,Female,"",45 to 64,"",1,2,0,"",0,"",0,"",1,2,0,0,0,0
20200306,S92000003,Female,"",60+,"",0,1,0,"",0,"",0,"",0,1,0,0,,0
20200306,S92000003,Female,"",65 to 74,"",0,1,0,"",0,"",0,"",0,1,0,0,,0
20200306,S92000003,Female,"",Total,d,3,8,0,"",0,"",0,"",3,8,0,0,0,0
20200306,S92000003,Male,"",0 to 59,"",2,12,0,"",0,"",0,"",2,12,0,0,0,0
20200306,S92000003,Male,"",25 to 44,"",1,6,0,"",0,"",0,"",1,6,0,0,0,0
20200306,S92000003,Male,"",45 to 64,"",1,6,0,"",0,"",0,"",1,6,0,0,0,0
20200306,S92000003,Male,"",60+,"",1,1,0,"",0,"",0,"",1,1,0,0,0,0
20200306,S92000003,Male,"",65 to 74,"",1,1,0,"",0,"",0,"",1,1,0,0,0,0
20200306,S92000003,Male,"",Total,d,3,13,0,"",0,"",0,"",3,13,0,0,0,0
20200306,S92000003,Total,d,0 to 59,"",5,19,0,"",0,"",0,"",5,19,0,0,0,0
20200306,S92000003,Total,d,20 to 24,"",1,2,0,"",0,"",0,"",1,2,0,0,0,0
20200306,S92000003,Total,d,25 to 44,"",2,9,0,"",0,"",0,"",2,9,0,0,0,0
20200306,S92000003,Total,d,45 to 64,"",2,8,0,"",0,"",0,"",2,8,0,0,0,0
20200306,S92000003,Total,d,60+,"",1,2,0,"",0,"",0,"",1,2,0,0,0,0
20200306,S92000003,Total,d,65 to 74,"",1,2,0,"",0,"",0,"",1,2,0,0,0,0
20200306,S92000003,Total,d,Total,d,6,21,0,"",0,"",0,"",6,21,0,0,0,0
20200307,S92000003,Female,"",0 to 59,"",2,9,0,"",0,"",0,"",2,9,0,0,0,0
20200307,S92000003,Female,"",20 to 24,"",0,2,0,"",0,"",0,"",0,2,0,0,,0
20200307,S92000003,Female,"",25 to 44,"",0,3,0,"",0,"",0,"",0,3,0,0,,0
20200307,S92000003,Female,"",45 to 64,"",2,4,0,"",0,"",0,"",2,4,0,0,0,0
20200307,S92000003,Female,"",60+,"",0,1,0,"",0,"",0,"",0,1,0,0,,0
20200307,S92000003,Female,"",65 to 74,"",0,1,0,"",0,"",0,"",0,1,0,0,,0
20200307,S92000003,Female,"",Total,d,2,10,0,"",0,"",0,"",2,10,0,0,0,0
20200307,S92000003,Male,"",0 to 59,"",3,15,0,"",0,"",0,"",3,15,0,0,0,0
20200307,S92000003,Male,"",25 to 44,"",2,8,0,"",0,"",0,"",2,8,0,0,0,0
20200307,S92000003,Male,"",45 to 64,"",1,7,0,"",0,"",0,"",1,7,0,0,0,0
20200307,S92000003,Male,"",60+,"",1,2,0,"",0,"",0,"",1,2,0,0,0,0
20200307,S92000003,Male,"",65 to 74,"",1,2,0,"",0,"",0,"",1,2,0,0,0,0
20200307,S92000003,Male,"",Total,d,4,17,0,"",0,"",0,"",4,17,0,0,0,0
